id,name,host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_reviews_ltm,license
427495,Lovely attic room with double bed,766611,Dublin City,Private room,Ä110,3,188,01/09/2024,1.26,330,3,
451611,Best location balcony St Patrick's view,1607393,Dublin City,Entire home,Ä167,2,632,28/10/2024,4.14,173,44,
468082,"A little bit of country in the city, Fairy House",2115318,South Dublin,Private room,Ä135,1,402,24/11/2024,2.69,333,40,
522667,"Interesting, Spacious Georgian Flat",2110301,Dublin City,Entire home,Ä142,2,536,25/11/2024,3.53,174,38,
526767,Designer Apt in the heart of Dublin,2340296,Dublin City,Entire home,Ä186,2,683,08/12/2024,4.57,225,52,
587218,sunny double room in victorian home,2895736,Dublin City,Private room,Ä90,2,296,08/12/2024,1.99,89,39,
592840,"Fairy House ,A little bit of country in the city",2115318,South Dublin,Private room,Ä65,1,112,17/11/2024,0.75,339,24,
631270,Ringsend near city centre cosy room double bed,3125619,Dublin City,Private room,Ä105,2,65,15/09/2024,0.63,50,17,
654589,City Centre Apartment | Temple Bar | Dublin Castle,3244025,Dublin City,Entire home,Ä254,1,662,08/12/2024,4.43,293,52,
690119,Extensively Modernised Georgian House near Everything,3525420,Dn Laoghaire-Rathdown,Entire home,Ä365,4,245,21/10/2024,1.75,261,15,
701759,Beautiful room in design awarded house beside Luas,3525420,Dn Laoghaire-Rathdown,Private room,Ä98,2,32,24/06/2024,0.22,34,3,
715205,Gracepark Guesthouse 1,3683952,Dublin City,Private room,Ä100,1,175,02/12/2024,1.18,321,80,
726011,Sunset Crag - Beautiful Apartment,3755932,Fingal,Entire home,Ä138,3,222,15/10/2024,1.62,196,22,
726075,Chestnut view- 4* Rating Close to airport and city,3756388,Dublin City,Entire home,Ä125,21,4,30/08/2024,0.04,66,1,
742656,Camden Central. Dublin at your door,3888023,Dublin City,Private room,Ä75,2,476,17/11/2024,3.61,65,32,
869956,Bright double room in independent house near UCD,4584609,Dn Laoghaire-Rathdown,Private room,Ä59,7,12,27/10/2024,0.09,20,2,
871174,Three single beds,4592908,Dublin City,Private room,Ä53,1,354,06/12/2024,2.47,89,44,
872539,Contemporary Victorian cottage,4603565,Dublin City,Entire home,Ä290,3,162,11/09/2024,1.13,292,16,
922425,Perfect Location City Centre House,1607393,Dublin City,Entire home,Ä309,3,139,01/11/2024,0.98,7,4,
998407,self contained cozy tot private near city & airpor,1245198,Dublin City,Entire home,Ä55,1,338,01/12/2024,2.75,162,37,
999963,"City living with garden, park, canal, luas",5497230,Dublin City,Entire home,Ä450,7,11,08/08/2023,0.09,0,0,
1073487,Open Plan /UCD Adjacent share with small family,5905039,Dn Laoghaire-Rathdown,Private room,Ä100,2,103,28/09/2024,0.73,363,11,
1086416,"Cosy, self-contained, 1-bed space.",5971713,Dublin City,Entire home,Ä106,2,285,10/12/2024,2.02,10,17,
1173029,Great house in vibrant Stoneybatter,3448346,Dublin City,Entire home,Ä216,3,476,06/12/2024,4.12,301,72,
1207950,Large 5 Star Prime South Dublin House,6593571,Dn Laoghaire-Rathdown,Entire home,Ä390,5,99,28/09/2024,0.71,131,11,
1255270,No1 friendly family home,6837751,South Dublin,Private room,Ä50,30,22,01/10/2024,0.16,134,5,
1270261,Old Country house,474328,Fingal,Private room,Ä50,1,13,13/08/2023,0.1,365,0,
1299470,Large Georgian House @ Malahide Beach,6287304,Fingal,Entire home,Ä650,2,0,,,328,0,
1345435,"Townhouse, Portobello",435734,Dublin City,Entire home,Ä200,10,35,18/11/2019,0.28,67,0,
1364560,"Cosy double in Eclectic Arty home, near Guinness",6977448,Dublin City,Private room,Ä100,3,168,28/10/2024,1.22,3,13,
1466234,Single room,5940448,Dublin City,Private room,Ä42,4,218,14/10/2024,1.58,201,38,
1478255,Country Cottage in the city,7910820,Dublin City,Entire home,Ä264,2,22,19/08/2024,2.44,286,22,
1520036,"Double Bedroom (En-suite), Dublin City Centre",6973475,Dublin City,Private room,Ä160,3,54,18/08/2024,0.4,278,8,
1559929,Stephen's Green 1838 Villa - single,3745350,Dublin City,Private room,Ä85,2,66,08/05/2023,0.49,2,0,
1596451,"Stunning architectural home, sleeps 8, Dublin.",6219661,Dublin City,Entire home,"Ä1,000",3,17,30/05/2016,0.13,345,0,
1600779,Stephen's Green 1838 Villa - double,3745350,Dublin City,Private room,Ä110,2,78,09/12/2024,0.59,30,3,
1729959,Kim's House,9115187,Dn Laoghaire-Rathdown,Entire home,Ä215,5,8,12/07/2024,0.07,11,1,
1804494,Entire 2bed townhouse close to City,6650296,Dublin City,Entire home,Ä151,4,148,30/11/2024,1.12,40,15,
1906221,"Great double room,Dublin",9084049,Dublin City,Private room,Ä94,2,600,30/10/2024,4.47,187,41,
1943366,Exquisitely restored Victorian Flat - WB Yeats,1557844,Dublin City,Entire home,Ä203,2,158,11/11/2024,1.23,227,5,
1963074,Private room with own entrance,10124896,Dublin City,Private room,Ä116,1,766,08/12/2024,6.07,270,60,
2026810,1 single cosy room in Ranelagh,6782586,Dublin City,Private room,Ä58,3,375,30/11/2024,2.87,272,33,
2164444,Historic Oasis - Heart Of Dublin,11013512,Dublin City,Private room,Ä84,2,553,08/12/2024,4.2,115,40,
2215722,Clontarf Dublin 3,11294447,Dublin City,Private room,Ä120,1,0,,,6,0,
2241137,A home away from home,4009786,Dn Laoghaire-Rathdown,Private room,Ä100,2,15,04/11/2024,1.06,362,12,
2283713,Camden St: Central 'n' Cosy,3888023,Dublin City,Private room,Ä76,2,360,03/11/2024,2.77,69,23,
2345315,Smart Modern Double Size Bedroom + own bathroom,11976922,Dublin City,Private room,Ä55,25,228,02/01/2023,1.98,106,0,
2394893,Warm family home & garden in D9,12173057,Dublin City,Private room,Ä106,2,259,25/09/2024,2.02,264,16,
2415104,House in the heart of Dublin,5580678,Dublin City,Entire home,Ä543,5,285,15/10/2024,2.18,359,16,
2427857,Large family home and garden D9:,12173057,Dublin City,Private room,Ä89,2,261,27/09/2024,2,255,12,
2466169,Cozy Central Studio,11823727,Dublin City,Entire home,Ä65,3,238,20/05/2024,1.85,38,8,
2471794,Elegant Victorian terrace house,12640966,Dn Laoghaire-Rathdown,Private room,Ä100,2,163,14/09/2024,1.27,170,14,
2481147,Modern 3 Bed Duplex Apartment - Grand Canal,234243,Dublin City,Entire home,Ä425,3,34,20/04/2023,0.33,222,0,
2486255,"Fairy House, Lucan,Private Room for a Couple",2115318,South Dublin,Private room,Ä100,1,4,13/10/2024,0.25,334,2,
2489550,"Stunning Temple Bar, City Apartment",12036741,Dublin City,Entire home,Ä110,14,486,23/09/2024,3.79,86,15,
2574203,Small but perfectly formed,13054321,Dublin City,Private room,Ä58,2,536,08/12/2024,4.1,313,74,
2657582,Bright Double Room in Penthouse Apartment near UCD,8331433,Dublin City,Private room,Ä68,28,20,04/11/2024,0.16,265,4,
2686112,Central  Private double and bathroom,13748399,Dublin City,Private room,Ä100,3,90,03/08/2024,0.69,338,13,
2691951,Bright spacious mews in great location,11437558,Dn Laoghaire-Rathdown,Entire home,Ä250,2,112,30/09/2024,1.83,349,7,
2734096,Double Room in the Docklands,11211199,Dublin City,Private room,Ä210,3,23,13/09/2022,0.18,364,0,
2754860,A little piece of heaven,14091285,Fingal,Entire home,Ä750,7,6,06/08/2022,0.07,358,0,
2770813,Family Room (1 Double & 1 Single bed),14169546,Dublin City,Private room,Ä150,1,208,03/11/2024,1.61,342,41,
2791857,Comfortable double room en-suite,12173057,Dublin City,Private room,Ä126,2,262,25/10/2024,2.06,38,14,
2842486,Spacious One Bedroom Apartment.,7002908,Dublin City,Entire home,Ä210,7,138,01/10/2019,1.07,106,0,
2874272,Studio with a view over Dublin city,1557844,Dublin City,Entire home,Ä93,2,192,30/11/2024,1.55,98,25,
3009793,"""Parnell"" studio, Kilmainham",790601,Dublin City,Entire home,Ä94,3,34,28/04/2023,0.27,201,0,
3012532,Unique beautiful beachfront property 1,15351872,Fingal,Entire home,Ä135,2,181,01/12/2024,1.42,262,20,
3031518,Luxury Double Room (en-suite),14169546,Dublin City,Private room,Ä120,1,101,27/10/2024,0.8,351,14,
3042183,Luxury Double  room (The Green Room),14169546,Dublin City,Private room,Ä125,1,66,08/12/2024,0.58,346,3,
3042237,Single room to let (The Green Room),14169546,Dublin City,Private room,Ä70,1,135,09/12/2024,1.37,0,41,
3096382,Temple Bar-Old City. Large Roof Terrace,15369809,Dublin City,Entire home,Ä248,4,329,11/11/2024,2.57,313,32,
3137058,Large sunny double bedroom & luxury bathroom,12000497,Dublin City,Private room,Ä97,3,126,14/10/2024,1.49,160,1,
3188621,Cosy Room - Heart of Dublin Medieval City.,16158874,Dublin City,Private room,Ä90,2,239,08/12/2024,1.97,45,27,
3281268,Modern Style,16583015,Fingal,Entire home,Ä400,4,22,28/08/2018,0.17,162,0,
3333378,Stunning Sea View Beachfront Apartment 5,15351872,Fingal,Entire home,Ä135,2,179,18/11/2024,1.5,249,21,
3394094,Very Central Single Room,7972293,Dublin City,Private room,Ä78,3,266,27/10/2024,2.11,64,20,
3469741,Great city centre location,9382002,Dublin City,Entire home,Ä180,2,38,17/11/2024,0.3,27,17,
3474511,DUBLIN CITY CENTRE ‚Äì Double Room,17501731,Dublin City,Private room,Ä86,2,746,04/12/2024,5.98,62,39,
3579644,Double Room 1,18030374,South Dublin,Private room,Ä60,2,330,09/11/2024,2.61,156,28,
3581655,Twin room,18030374,South Dublin,Private room,Ä60,2,365,18/11/2024,2.88,161,31,
3592153,"Victorian House
4 Bed City Centre
Ballsbridge
D4",17259900,Dublin City,Entire home,Ä950,3,208,25/08/2024,1.69,195,17,
3634410,Dublin townhouse in city - Perfect for New Year,18323987,Dublin City,Entire home,Ä260,4,73,08/09/2024,0.62,7,5,
3652787,Beautiful Mews to Rent,16706548,Dn Laoghaire-Rathdown,Entire home,Ä145,1,0,,,363,0,
3692952,Stylish 3-Bed Ranelagh ‚Äì Minutes to Dublin City,18801793,Dublin City,Entire home,Ä345,3,43,30/05/2017,0.34,125,0,
3698469,Dublin-Killiney-Period Villa-Room 2of2 + Breakfast,390963,Dn Laoghaire-Rathdown,Private room,Ä93,2,92,14/09/2024,0.81,238,7,
3746469,Twin Room in Dalkey priced per person,19164017,Dn Laoghaire-Rathdown,Private room,Ä65,1,166,02/12/2024,1.32,317,52,
3749697,Single Room in Dalkey home,19164017,Dn Laoghaire-Rathdown,Private room,Ä60,1,246,01/12/2024,2.07,319,71,
3770752,Central Dublin Comfy Victorian Charm,19325587,Dublin City,Private room,Ä83,4,392,04/12/2024,3.11,0,39,
3789686,Waterfront Apartment in the Heart of Dublin City,13987224,Dublin City,Private room,Ä86,2,465,24/11/2024,3.69,137,44,
3868060,Comfortable Room in family home,19970483,Dn Laoghaire-Rathdown,Private room,Ä65,729,6,21/05/2022,0.05,365,0,
3882631,Charming Coach House near City Center in Ranelagh,6618797,Dublin City,Entire home,Ä209,3,224,12/12/2023,1.8,22,0,
3951360,Relaxing Beachside Room,19377734,Fingal,Private room,Ä99,1,228,15/10/2024,2.48,342,47,
3965249,"Beachside room, close to airport!",19377734,Fingal,Private room,Ä99,1,263,25/11/2024,2.11,314,33,
3991589,Charming cottage close to town,20691615,Dublin City,Private room,Ä65,7,186,14/09/2024,1.49,174,10,
4067786,Cultural Quarter Convenience near Dublin Castle,20808038,Dublin City,Entire home,Ä289,3,29,25/08/2024,0.25,216,22,
4092157,Single bedroom available,10475485,Dn Laoghaire-Rathdown,Private room,Ä33,1,21,03/07/2019,0.22,148,0,
4177992,Beautiful SINGLE ROOM IN CLONTARF,8760476,Dublin City,Private room,Ä65,1,282,07/12/2024,2.38,146,45,
4178309,BEAUTIFUL DOUBLE ROOM IN SCENIC CLONTARF,8760476,Dublin City,Private room,Ä80,1,275,08/12/2024,2.36,158,29,
4229727,Beautiful Double room clontarf,8760476,Dublin City,Private room,Ä80,2,205,14/11/2024,1.85,216,15,
4229865,BEAUTIFUL  ROOM WITH TWIN BEDS,8760476,Dublin City,Private room,Ä80,2,135,12/11/2024,1.14,152,20,
4230879,Cosy 3 BR House 15m From Centre,228263,Dublin City,Entire home,Ä400,2,31,24/11/2024,1.52,56,23,
4261174,Dublin Eco Home,7354515,Dublin City,Entire home,Ä664,5,18,22/05/2024,0.24,106,1,
4294854,City Centre Apartment,22295110,Dublin City,Private room,Ä70,30,185,26/09/2019,1.5,30,0,
4310584,Bright en-suite bedroom cum shared kitchen/dining,880723,Dublin City,Private room,Ä104,4,167,25/11/2024,1.47,205,17,
4337495,Cottage near city centre - Ranelagh,22520231,Dublin City,Entire home,Ä239,1,79,09/09/2024,0.65,7,5,
4378260,"Cosy, very small room for one.  Female only.",1614756,Dublin City,Private room,Ä73,2,160,11/11/2024,1.36,306,20,
4446134,Large 5 bed home in Shankill Village South Dublin,23074368,Dn Laoghaire-Rathdown,Entire home,Ä420,3,36,16/09/2024,0.37,56,6,
4446326,"Twin Room in Shankill Village, South Dublin",23074368,Dn Laoghaire-Rathdown,Private room,Ä80,1,46,15/03/2024,0.4,11,1,
4492472,"Large, sunny room in quiet red brick terrace house",23303300,Dublin City,Private room,Ä73,2,34,27/10/2024,0.33,20,7,
4585502,`Downtown Dublin Penthouse.,13670448,Dublin City,Entire home,Ä336,4,229,26/11/2024,1.89,162,37,
4604580,Twin Bedded room ‚Ç¨90 per night Lite Breakfast Rm 1,23860388,Fingal,Private room,Ä90,2,111,19/09/2024,1.21,345,12,
4637734,"Lovely family house in Dalkey, huge garden,",24012549,Dn Laoghaire-Rathdown,Entire home,Ä450,4,3,04/08/2024,0.03,174,1,
4639862,Lovely 1 bedroom in the heart of Dublin 4,24023516,Dublin City,Private room,Ä124,1,53,17/11/2024,1.96,257,24,
4665890,Rathmines Apartment 1,24141249,Dublin City,Entire home,Ä115,2,260,06/12/2024,2.24,92,65,
4699995,Bright modern loft apartment.,17841404,Dublin City,Entire home,Ä275,7,5,03/02/2020,0.04,0,0,
4802792,"Malahide, Co. Dublin",24741454,Fingal,Entire home,"Ä1,250",3,4,29/07/2024,0.73,164,4,
4804987,Studio Suite - Dublin 4,24753626,Dublin City,Entire home,Ä159,1,81,08/08/2024,0.69,304,10,
4857684,Unique exquisite beachfront property 2,15351872,Fingal,Entire home,Ä135,2,192,24/11/2024,1.89,244,39,
4940924,Carrickmines,19714107,Dn Laoghaire-Rathdown,Private room,Ä125,2,14,26/05/2024,0.15,345,1,
4963289,"Exquisite Private Suite in Malahide, Dublin.",25585623,Fingal,Private room,Ä105,1,620,27/10/2024,5.2,46,53,
4990588,Modern 2BR & 2Bathroom Apt. Heuston,1682649,Dublin City,Entire home,Ä250,4,57,30/09/2018,0.48,11,0,
5003312,Welcome to our home!,1444317,Dn Laoghaire-Rathdown,Private room,Ä50,1,40,18/08/2024,0.34,1,7,
5045518,2 bed house near city and airport,26048219,Dublin City,Entire home,Ä125,7,82,18/10/2024,0.73,139,10,
5056234,"Large luxurious house. 4bed/4bath, 10mins to City",26106771,Dn Laoghaire-Rathdown,Entire home,Ä423,4,149,02/12/2024,1.25,245,27,
5084809,"Cosy double room, near city center",26264820,Dublin City,Private room,Ä79,3,133,18/03/2024,1.11,31,1,
5085323,"D4 quiet location near Aviva stadium, sea and city",26267564,Dublin City,Entire home,Ä240,4,0,,,358,0,
5122717,Rathmines Apt 2,24141249,Dublin City,Entire home,Ä110,2,316,28/10/2024,2.72,130,75,
5123315,Rathmines Apt 3,24141249,Dublin City,Entire home,Ä132,2,287,06/12/2024,2.49,127,80,
5140160,Cowper 415,24141249,Dublin City,Entire home,Ä114,2,229,29/11/2024,2.29,213,59,
5140379,Cowper 443,24141249,Dublin City,Entire home,Ä118,2,299,10/12/2024,2.5,149,82,
5198526,Home away from Home in Dublin.,26889646,Dublin City,Private room,Ä120,3,250,03/12/2024,2.09,39,16,
5207710,Victorian Centre/3Arena/Conference,19574297,Dublin City,Entire home,Ä281,3,135,26/08/2024,1.14,106,7,
5273761,Beautiful modern cosy apartment,27300935,Dublin City,Private room,Ä66,2,293,30/09/2024,2.58,336,44,
5314113,City Centre Stylish Seaside Townhouse,26048716,Dublin City,Entire home,Ä750,3,35,08/09/2024,0.34,13,6,
5337567,Duplex Penthouse with Skyline Views in the City,47395128,Dublin City,Entire home,Ä286,2,448,24/11/2024,3.77,293,66,
5370743,Exclusive Detatched Residence. Secure and Private.,27840414,Dublin City,Entire home,Ä281,3,128,24/10/2022,1.08,0,0,
5458089,Restored Georgian Room Close to Heart of Dublin,11013512,Dublin City,Private room,Ä83,2,447,08/12/2024,3.9,99,48,
5577135,2 bedroom cottage in Ranelagh.,15560030,Dublin City,Entire home,Ä126,1,23,16/11/2024,0.82,199,12,
5580328,"Superb Temple Bar, City Apartment1",12036741,Dublin City,Entire home,Ä98,14,394,11/11/2024,3.32,169,1,
5624357,5 MINS train to Dublin City Centre,29104012,Dublin City,Private room,Ä49,1,193,16/03/2020,1.63,0,0,
5656305,Small basic/clean studio 1.7 km from city centre,29317081,Dublin City,Entire home,Ä72,1,822,08/12/2024,7.17,70,74,
5671611,Cosy Home-Sleeps 10 -City 15 mins walk/Tram 2 Mins,200189,Dublin City,Entire home,Ä399,2,274,20/11/2024,2.64,302,69,
5696906,Large cozy single room,6782586,Dublin City,Private room,Ä66,3,270,09/12/2024,2.33,320,30,
5740851,Double Spacious & Bright Room in North Dublin home,29054079,Dublin City,Private room,Ä90,1,2,25/05/2024,0.22,69,2,
5754964,Lovely period home walk to town!,29854526,Dublin City,Private room,Ä100,2,60,07/07/2019,0.51,99,0,
5790359,Three bedroom home near the sea,9045392,Fingal,Entire home,Ä125,2,105,18/11/2024,0.9,105,14,
5871701,Attractive 4 bed house near Phoenix park.,30488544,Dublin City,Entire home,Ä450,5,16,04/07/2024,0.14,15,3,
5887717,Trinity College & Temple Bar Apartment,483439255,Dublin City,Entire home,Ä94,2,363,02/12/2024,3.08,65,47,
5889864,Large Comfortable Single Bedroom,22839200,Fingal,Private room,Ä80,1,0,,,365,0,
5893248,Magnificient Views over Dublin Mountains - slps 2,1557844,Dublin City,Entire home,Ä87,2,241,01/12/2024,2.06,120,36,
5931145,The Oscar Wilde studio for 2  - city ctr 10 min,1557844,Dublin City,Entire home,Ä93,2,196,05/12/2024,1.68,138,13,
5946473,Lovely period house great location walk to city.,20775957,Dublin City,Private room,Ä84,3,266,25/11/2024,2.28,315,33,
6010530,Luxurious King sized bedroom Dublin,31201926,Fingal,Private room,Ä85,1,10,31/08/2024,0.09,360,5,
6027743,**WORK REMOTELY FROM THIS APARTMENT**GREAT LOCATION NEAR TRINITY COLLEGE  AT MERRION SQUARE,31284582,Dublin City,Entire home,Ä123,14,329,18/11/2024,2.8,61,19,
6070630,"Docklands, Room in shared Flat with Private Bath",5723799,Dublin City,Private room,Ä86,2,7,10/11/2024,1.93,17,7,
6097160,"Cottage ,,",2937299,Dublin City,Entire home,Ä480,2,185,08/12/2024,1.59,173,29,
6181296,"The Laurels, peaceful,quiet oasis",32061719,Dublin City,Private room,Ä100,1,1,17/03/2024,0.11,89,1,
6267817,Lucyswell B&B Dublin 9,32572408,Dublin City,Private room,Ä75,1,26,04/09/2024,0.22,350,3,
6290081,Large Luxury Penthouse in the City.,2133795,Dublin City,Entire home,Ä775,3,112,12/10/2024,0.96,155,13,
6309046,Recently Renovated Victorian House,30325866,Dublin City,Entire home,Ä400,7,25,19/08/2024,0.24,38,3,
6347315,Light filled spacious family home,7996626,Dublin City,Entire home,Ä375,2,35,18/08/2024,0.31,340,3,
6348110,Large double room in Castleknock,33067422,Fingal,Private room,Ä54,3,33,30/05/2024,0.28,39,2,
6396228,Private Suite - Howth Harbour Front,19430681,Fingal,Entire home,Ä122,1,615,11/11/2024,5.3,10,64,
6406867,Charming Georgian Studio,33415852,Dublin City,Entire home,Ä76,2,313,13/03/2020,2.69,0,0,
6448254,"Malahide,  close to Airport, close to the Sea",32275630,Fingal,Private room,Ä62,2,25,20/11/2024,0.22,46,7,
6450206,"Stay near Guinness Storehouse, Jameson, Temple Bar",33678996,Dublin City,Private room,Ä60,1,12,09/11/2024,0.1,298,5,
6457068,Skerries luxury Apt  ( Best for long stay rates ),32885583,Fingal,Entire home,Ä124,28,174,31/08/2023,1.5,262,0,
6524937,Home in Dublin 6,16540492,Dublin City,Entire home,Ä414,5,0,,,7,0,
6550308,Funky Studio & Sauna in Dublin 8 close to centre,34260787,Dublin City,Entire home,Ä110,3,289,25/11/2024,2.49,204,35,
6585603,Modern 2 bed Apartment with private patio,3352302,Dublin City,Entire home,Ä180,5,9,25/01/2024,0.5,363,2,
6602165,Happy home! 5.5 miles south Dublin!,777681,Dn Laoghaire-Rathdown,Private room,Ä88,1,205,08/12/2024,1.84,33,54,
6633932,Cosy cottage in south Dublin,2662938,Dublin City,Entire home,Ä199,5,0,,,79,0,
6637187,Stylish apt at Guinness's door,25682541,Dublin City,Entire home,Ä90,30,383,11/10/2024,3.31,248,13,
6657851,Very comfortable bedroom for 2,34846102,Fingal,Private room,Ä90,2,128,20/10/2024,1.19,359,16,
6674154,Urban 3 bedroom family home Ranelagh,34930809,Dublin City,Entire home,Ä349,14,21,26/08/2024,0.18,2,4,
6677566,Self Contained Studio/Bedsit No 2,33683963,Dublin City,Entire home,Ä121,5,221,13/11/2024,1.92,332,18,
6677678,Self Contained Studio/Bedsit No 3,33683963,Dublin City,Entire home,Ä121,5,222,23/11/2024,1.95,315,15,
6681883,Double bedroom,34286815,Dublin City,Private room,Ä80,1,323,24/11/2024,2.83,78,32,
6705101,Stonebridge house single room,35098622,Fingal,Private room,Ä65,1,119,30/07/2023,1.35,132,0,
6710681,Lovely flat near city centre,25963264,Dublin City,Entire home,Ä168,60,80,20/10/2024,0.69,271,9,
6719721,"Apartment with ""The Guinness View""",25682541,Dublin City,Entire home,Ä90,30,355,25/10/2024,3.08,139,2,
6765402,Modern house in Docklands - 20% discount per month,18152416,Dublin City,Entire home,Ä180,14,139,02/11/2024,1.28,235,5,
6781323,Single Room ensuite 2km from Dublin city,35500086,Dublin City,Private room,Ä59,1,163,08/12/2024,1.43,6,42,
6803316,Double room with own entrance,35615400,Dn Laoghaire-Rathdown,Private room,Ä62,2,146,24/11/2024,1.28,76,14,
6834535,Unique apartment | Temple Bar | On The River,3244025,Dublin City,Entire home,Ä264,1,445,08/12/2024,4,294,37,
6847185,Entire Georgian at 24 Waterloo Road,1689456,Dublin City,Entire home,Ä900,21,0,,,358,0,
6895847,Charming flat with amazing view .,29851519,Dublin City,Entire home,Ä169,3,467,25/11/2024,4.05,44,58,
6896840,Large bright dble/triple by the sea.Close to city.,6007467,Dublin City,Private room,Ä150,2,44,18/09/2022,0.38,158,0,
6964763,Double Bedroom & Private Bathroom,4554368,Dublin City,Private room,Ä557,1,14,29/10/2018,0.12,364,0,
6991430,"Superb Temple Bar, City Apartment2",12036741,Dublin City,Entire home,Ä99,14,448,17/11/2024,3.9,101,14,
7032060,Spacious 1 bed flat in victorian redbrick house.,29317081,Dublin City,Entire home,Ä82,2,207,01/12/2024,6.73,67,68,
7071476,Artisan Cottage by the Canal in Portobello,9700662,Dublin City,Entire home,Ä175,3,76,18/03/2024,0.67,22,1,
7089384,Double Room & Bathroom -City Centre,37157440,Dublin City,Private room,Ä90,3,14,30/08/2024,0.12,72,3,
7132062,Bright Studio in a Handsome Georgian Building,2110301,Dublin City,Entire home,Ä141,2,500,27/11/2024,4.39,155,70,
7185702,Double room in a very quiet location.,37645671,Dn Laoghaire-Rathdown,Private room,Ä68,1,35,11/08/2023,0.53,18,0,
7192680,BTown 2 Bed 2 Bath,37667901,Dn Laoghaire-Rathdown,Entire home,Ä154,3,57,17/11/2024,3.22,261,38,
7214457,Cozy double room near Dublin Airport/City,37770456,Fingal,Private room,Ä100,1,28,15/10/2016,0.25,351,0,
7326322,Stylish butter brick terraced home,35025079,Dublin City,Entire home,Ä140,1,25,13/10/2024,0.22,282,3,
7328652,"""Seahorse "" seaside beach cottage",20109859,Fingal,Entire home,Ä120,2,538,24/11/2024,4.71,325,50,
7344109,Friendly family house near village,38474266,Dublin City,Private room,Ä90,2,185,26/11/2024,1.63,318,31,
7392224,Victorian Fully Renovated 5 Bedroom House,25453853,Dublin City,Entire home,Ä650,3,37,29/10/2024,0.33,71,8,
7450614,"Double Room, 10 mins from airport",39020603,Fingal,Private room,Ä88,1,256,13/09/2024,2.24,61,23,
7524194,One Bedroom Suite,39428476,Dublin City,Private room,Ä159,2,2,10/11/2019,0.03,0,0,
7525262,Studio Suite,39428476,Dublin City,Private room,Ä144,2,1,10/06/2019,0.01,0,0,
7531892,Private Single room,39466580,South Dublin,Private room,Ä90,1,75,08/09/2024,0.66,365,4,
7542897,Luxury Apartment in Georgian House,39522840,Dublin City,Entire home,Ä160,30,103,30/09/2024,0.92,187,10,
7552924,Room in warm friendly Irish home,35842825,Fingal,Private room,Ä73,1,178,26/11/2024,1.56,70,28,
7586899,Dublin-Killiney-Period Villa-Room 1of2 + Breakfast,390963,Dn Laoghaire-Rathdown,Private room,Ä93,2,179,10/09/2024,1.57,235,9,
7590197,Drimnagh - 3 bedrooms,7069462,Dublin City,Entire home,Ä208,2,123,26/08/2024,1.08,323,9,
7595241,Corporate Apartment. 15m to the city.  Long Term,3523621,South Dublin,Private room,Ä150,7,7,23/09/2023,0.07,365,0,
